product_category_name,total_products_sold,total_revenue,average_price,average_freight
beleza_saude,9467,1233211.61,130.26,18.91
relogios_presentes,5857,1165898.98,199.06,16.75
cama_mesa_banho,10952,1023300.77,93.44,18.42
esporte_lazer,8429,954626.07,113.25,19.38
informatica_acessorios,7643,888613.62,116.27,18.84
moveis_decoracao,8156,711493.09,87.24,20.64
utilidades_domesticas,6795,615628.69,90.60,21.01
cool_stuff,3715,609964.13,164.19,21.91
automotivo,4139,578849.35,139.85,21.86
brinquedos,4030,471197.48,116.92,18.80
ferramentas_jardim,4267,470360.28,110.23,22.65
bebes,2982,400421.84,134.28,22.24
perfumaria,3342,390454.45,116.83,15.87
telefonia,4428,309762.23,69.96,15.65
moveis_escritorio,1668,268154.31,160.76,40.20
papelaria,2466,223788.69,90.75,18.57
pcs,199,218684.14,1098.92,48.57
pet_shop,1924,211695.64,110.03,20.23
instrumentos_musicais,651,184315.74,283.13,27.45
eletroportateis,657,182444.22,277.69,23.31
eletronicos,2729,155043.93,56.81,16.74
fashion_bolsas_e_acessorios,1986,149464.39,75.26,15.40
consoles_games,1089,148003.37,135.91,17.53
construcao_ferramentas_construcao,916,142108.49,155.14,22.13
malas_acessorios,1077,138701.63,128.79,27.93
eletrodomesticos_2,231,107953.95,467.33,44.39
casa_construcao,596,81407.57,136.59,22.84
eletrodomesticos,754,78832.48,104.55,19.19
agro_industria_e_comercio,206,70566.10,342.55,27.37
moveis_sala,495,67350.70,136.06,35.75
casa_conforto,429,58008.45,135.22,19.65
telefonia_fixa,255,55315.21,216.92,17.65
climatizacao,289,53323.56,184.51,22.60
audio,362,50570.60,139.70,15.70
portateis_casa_forno_e_cafe,73,46589.56,638.21,36.39
moveis_cozinha_area_de_servico_jantar_e_jardim,274,45531.98,166.18,42.12
livros_interesse_geral,536,45256.25,84.43,16.55
construcao_ferramentas_iluminacao,301,39957.00,132.75,24.88
construcao_ferramentas_seguranca,182,38394.22,210.96,20.40
industria_comercio_e_negocios,264,38169.81,144.58,28.62
alimentos,499,28731.15,57.58,14.16
market_place,305,27795.77,91.13,17.44
construcao_ferramentas_jardim,232,25096.28,108.17,22.36
artes,197,23657.30,120.09,19.43
fashion_calcados,257,23001.46,89.50,18.73
bebidas,361,21529.84,59.64,15.07
sinalizacao_e_seguranca,197,21315.05,108.20,32.88
moveis_quarto,103,19051.80,184.97,42.01
livros_tecnicos,263,18702.23,71.11,15.97
construcao_ferramentas_ferramentas,103,15903.95,154.41,19.71
alimentos_bebidas,269,14942.88,55.55,16.34
fashion_roupa_masculina,125,10452.33,83.62,16.50
fashion_underwear_e_moda_praia,127,9305.95,73.28,14.60
artigos_de_natal,150,8737.84,58.25,21.27
tablets_impressao_imagem,83,7528.41,90.70,14.77
cine_foto,70,6674.47,95.35,17.54
musica,38,6034.35,158.80,18.17
dvds_blu_ray,61,4542.59,74.47,20.12
artigos_de_festas,42,4465.19,106.31,19.53
livros_importados,57,4418.86,77.52,12.84
moveis_colchao_e_estofado,37,4323.38,116.85,42.74
portateis_cozinha_e_preparadores_de_alimentos,14,3933.63,280.97,21.03
fashion_roupa_feminina,45,2634.94,58.55,12.97
fashion_esporte,29,2094.52,72.22,19.41
la_cuisine,14,2054.99,146.79,23.83
artes_e_artesanato,24,1814.01,75.58,15.42
fraldas_higiene,37,1500.79,40.56,14.74
pc_gamer,8,1306.95,163.37,15.39
flores,33,1110.04,33.64,14.81
casa_conforto_2,30,760.27,25.34,13.68
cds_dvds_musicais,14,730.00,52.14,16.07
fashion_roupa_infanto_juvenil,7,519.95,74.28,11.25
seguros_e_servicos,2,283.29,141.65,20.61
