purchase_year,purchase_month,total_orders,total_revenue,average_order_value
2016,December,1,19.6200008392334,19.62
2016,October,268,47099.229959487915,148.58
2016,September,1,143.45999908447266,47.82
2017,April,2243,380905.68962574005,152.36
2017,August,4129,639629.6297979355,135.46
2017,December,5383,825707.2501010895,136.48
2017,February,1592,259920.82952213287,145.21
2017,January,738,125568.71003723145,139.68
2017,July,3824,562456.6693630219,129.06
2017,June,3085,484251.24022865295,141.14
2017,March,2496,406871.62948703766,143.42
2017,May,3466,554152.1803255081,141.65
2017,November,7186,1137391.7695951462,136.12
2017,October,4428,733050.4700813293,142.45
2017,September,4090,693809.6406917572,148.79
2018,April,6731,1123553.9008960724,144.92
2018,August,6324,982800.801068306,138.21
2018,February,6451,951535.2499513626,128.55
2018,January,6901,1053965.4788632393,134.37
2018,July,6118,1021620.7394142151,147.78
2018,June,6075,1008643.2607345581,144.42
2018,March,6884,1101474.7597560883,139.71
2018,May,6716,1124792.4513263702,144.8
